сценарий           сем  модель                                 параметр  потолок  натяж.  N      мощн.   невыполн.
EQUAL_THIRDS       1    LATENT_GAUSSIAN_COPULA_THRESHOLD_V1    0.2109    0.9055  0.190   210    0.8141  0
EQUAL_THIRDS       1    FRECHET_COMONOTONE_MIXTURE_V1          0.1904    0.9055  0.190   225    0.8306  0
EQUAL_THIRDS       1    UNIFORM_LOCAL_ASSOCIATION_IPF_V1       0.2350    0.9055  0.190   217    0.8216  0
EQUAL_THIRDS       1    FRECHET_TWO_SIDED_MIXTURE_V1           0.1500    0.9055  0.190   233    0.8238  0
EQUAL_THIRDS       2    LATENT_GAUSSIAN_COPULA_THRESHOLD_V1    0.2109    0.9055  0.190   270    0.8144  0
EQUAL_THIRDS       2    FRECHET_COMONOTONE_MIXTURE_V1          0.1904    0.9055  0.190   280    0.815   0
EQUAL_THIRDS       2    UNIFORM_LOCAL_ASSOCIATION_IPF_V1       0.2350    0.9055  0.190   262    0.815   0
EQUAL_THIRDS       2    FRECHET_TWO_SIDED_MIXTURE_V1           0.1500    0.9055  0.190   285    0.8159  0
CEILING_SKEW       1    LATENT_GAUSSIAN_COPULA_THRESHOLD_V1    0.2385    0.7189  0.240   221    0.8225  0
CEILING_SKEW       1    FRECHET_COMONOTONE_MIXTURE_V1          0.2398    0.7189  0.240   225    0.8166  0
CEILING_SKEW       1    UNIFORM_LOCAL_ASSOCIATION_IPF_V1       0.2997    0.7189  0.240   206    0.8153  0
CEILING_SKEW       1    FRECHET_TWO_SIDED_MIXTURE_V1           0.1500    0.7189  0.240   241    0.8284  0
CEILING_SKEW       2    LATENT_GAUSSIAN_COPULA_THRESHOLD_V1    0.2385    0.7189  0.240   270    0.8263  0
CEILING_SKEW       2    FRECHET_COMONOTONE_MIXTURE_V1          0.2398    0.7189  0.240   270    0.8213  0
CEILING_SKEW       2    UNIFORM_LOCAL_ASSOCIATION_IPF_V1       0.2997    0.7189  0.240   270    0.8256  0
CEILING_SKEW       2    FRECHET_TWO_SIDED_MIXTURE_V1           0.1500    0.7189  0.240   285    0.8147  0
FLOOR_SKEW         1    LATENT_GAUSSIAN_COPULA_THRESHOLD_V1    0.2393    0.8075  0.213   221    0.84    0
FLOOR_SKEW         1    FRECHET_COMONOTONE_MIXTURE_V1          0.2135    0.8075  0.213   221    0.83    0
FLOOR_SKEW         1    UNIFORM_LOCAL_ASSOCIATION_IPF_V1       0.3011    0.8075  0.213   221    0.8369  0
FLOOR_SKEW         1    FRECHET_TWO_SIDED_MIXTURE_V1           0.1500    0.8075  0.213   243    0.8406  0
FLOOR_SKEW         2    LATENT_GAUSSIAN_COPULA_THRESHOLD_V1    0.2393    0.8075  0.213   270    0.8253  0
FLOOR_SKEW         2    FRECHET_COMONOTONE_MIXTURE_V1          0.2135    0.8075  0.213   289    0.8328  0
FLOOR_SKEW         2    UNIFORM_LOCAL_ASSOCIATION_IPF_V1       0.3011    0.8075  0.213   270    0.8203  0
FLOOR_SKEW         2    FRECHET_TWO_SIDED_MIXTURE_V1           0.1500    0.8075  0.213   292    0.8241  0
NEAR_DEGENERATE    1    LATENT_GAUSSIAN_COPULA_THRESHOLD_V1    0.2845    0.5244  0.329   217    0.8269  0
NEAR_DEGENERATE    1    FRECHET_COMONOTONE_MIXTURE_V1          0.3288    0.5244  0.329   225    0.8156  0
NEAR_DEGENERATE    1    UNIFORM_LOCAL_ASSOCIATION_IPF_V1       0.4046    0.5244  0.329   213    0.8191  0
NEAR_DEGENERATE    1    FRECHET_TWO_SIDED_MIXTURE_V1           0.1500    0.5244  0.329   253    0.8269  0
NEAR_DEGENERATE    2    LATENT_GAUSSIAN_COPULA_THRESHOLD_V1    0.2845    0.5244  0.329   270    0.8234  0
